Kelas;Soal;A;B;C;D;E;Jawaban;;
4;Cacing tanah bernapas menggunakan ...;insang;paru-paru;trakea;kulit;#;D;;
4;Tekanan darah tinggi disebut ...;hipertensi;stroke;shock;kolesterol;#;A;;
4;Kelebihan lemak di dalam darah menyebabkan penyakit ...;diabetes;varises;hipertensi;hipotensi;#;C;;
4;Tempat terjadinya proses fotosintesis pada ...;akar;batang;daun;buah;#;C;;
4;Makanan cadangan pada tanaman jahe disimpan pada ...;akar;daun;biji;batang;#;D;;
4;"Contoh hewan yang hidupnya di dalam air, yaitu ...";cecak dan kadal;katak dan kelinci;mujair dan buaya;ikan dan udang;#;D;;
4;Tempat hidup makhluk hidup disebut ...;adaptasi;habitat;populasi;ekologi;#;B;;
4;"Benda yang tersusun dari bahan kayu, paku, dan cat adalah ...";tikar;kursi;piring;gorden;#;B;;
4;"Sebelum melakukan olahraga, sebaiknya kita melakukan ...";Pemanasan;Pendinginan;Perlombaan;Pertunjukan;#;A;;
4;Posisi kedua tangan saat duduk selonjor mencium lutut adalah ...;Memegang ujung kaki;Dipinggang;Diperut;Memegang lutut;#;A;;
4;"Saat mencium lutut, posisi lutut...";Tertekuk;Lurus;Bengkok;Diangkat;#;B;;
4;Posisi kepala saat mengambil nafas dalam renang adalah ...;Mengarah ke depan;Miring ke samping;Mengarah kebawah;Tengadah;#;B;;
4;Untuk menjaga kebersihan kolam kita harus ...;Makan dikolam;Kencing dikolam;Buang ingus dikolam;Tidak makan dikolam;#;D;;
4;Kegiatan berkemah dilakukan di ...;Kelas;Gedung;Aula;Luar sekolah;#;D;;
4;Berkemah untuk melatih ...;kesabaaran;Keikhlasan;Kemandirian;Ketenangan;#;C;;
4;Buang air besar sembarangan akan membuat lingkungan ...;Aman;Nyaman;Tercemar;Sehat;#;C;;
4;Penularan penyakit demam berdarah melalui...;Gigitan nyamuk;Udara;Sentuhan;Kontak langsung;#;A;;
4;Lari cepat disebut juga ...;Sprint;Sit up;Back up;Joging;#;A;;
4;Kasti termasuk jenis permainan...;perorangan;beregu;massal;sendiri;#;B;;
4;Jumlah pemain kasti adalah...;12;13;14;15;#;A;;
4;Teknik dasar dalam kasti adalah...;melempar;menyundul;menendang;mendorong;#;A;;
4;Melempar dan menangkap serta memukul adalah salah satu teknik bermain;tennis;catur;kasti;game;#;C;;
4;Sepak bola merupakan bentuk permainan...;Ganda;Tunggal;Perorangan;beregu;#;D;;
4;Lama pertandingan sepak bola dalam satu babak adalah...;20 menit;30 menit;45 menit;90 menit;#;C;;
4;Jumlah pemain dalam permainan sepak bola adalah...;9 orang;10 orang;11 orang;12 orang;#;C;;
4;Induk semua cabang olahraga adalah...;bela diri;senam;atletik;permainan;#;C;;
4;Lompat melewati kardus untuk melatih...;kekuatan;kelentukan;keseimbangan;daya tahan;#;B;;
4;Pada saat melempar pandangan mata ke...;atas;bawah;depan;belakang;#;C;;
4;Pelari mulai berlari pada saat aba -- aba...;oke;siap;bersedia;ya;#;D;;
4;Dalam gerakan duduk mencium lutut kedua kaki rapat dan...;lurus;diangkat;ditekuk;jongkok;#;A;;
4;Lompat tali beregu dilakukan paling sedikit...orang;1;2;3;4;#;C;;
4;"Pada saat kaki menyentuh tanah, kaki…";jongkok;meloncat;diluruskan;ditekuk;#;D;;
4;Loncat berputar 180 derajat untuk melatih...;keseimbangan;kekuatan;kelentukan;daya tahan;#;A;;
4;Senam dapat dilakukan oleh...;anak - anak;remaja;orang tua;semua orang;#;D;;
4;Gerakan berguling termasuk senam...;irama;aerobik;lantai;musik;#;C;;
4;Senam irama adalah senam yang menggunakan...;aba - aba;peluit;lantai;musik;#;D;;
4;Senam ""Ayo Bangkit"" termasuk senam...;aerobik;ketangkasan;irama;alat;#;C;;
4;Renang termasuk jenis olahraga...;permainan;air;bela diri;atletik;#;B;;
4;Etika dalam renang untuk menjaga...;kelemahan;kekuatan;kecepatan;keselamatan;#;D;;
4;Berkemah dilaksanakan di alam...;tertutup;semesta;terbuka;dunia;#;C;;
4;Tujuan berkemah untuk melatih...;keseimbangan;kekuatan;kelentukan;kemandirian;#;D;;
4;Kebersihan pangkal dari...;kesehatan;ketahanan;kekuatan;keselamatan;#;A;;
4;Halaman di sapu dengan...;Sapu lidi;kemoceng;sapu ijuk;sikat kawat;#;A;;
4;Olahraga yang bertujuan untuk melatih otot perut adalah...;Lari;Renang;Back up;Congklak;#;C;;
4;Pemain bola volly berjumlah ... orang;5;6;7;8;#;B;;
4;Sepak bola merupakan bentuk permainan...;Perorangan;Beregu;Tunggal;Individu;#;B;;
4;Pemimpin regu/tim disebut ...;Kapten;Pemain;Libero;Wasit;#;A;;
4;Tujuan utama melakukan olahraga adalah untuk memperoleh...;Nafkah;Nilai;Pujian guru;Kesegaran jasmani;#;D;;
4;Senam yang dalam gerakanya diiringi dengan irama musik atau ketukan termasuk senam...;Irama;lansia;lantai;salsa;#;A;;
4;Senam irama merupakan perpaduan antara gerakan...;Tari dan olahraga;Dansa dan lompat;Lompat dan lari;angkat dan putar;#;A;;
4;Musik yang dipergunakan untuk mengiringi gerakan senam irama haruslah berirama...;Lembut;santai;riang gembira;keras;#;C;;
4;Pada saat melakukan jalan di tempat pandangan mata di arahkan ke ...;Depan;bawah;samping kiri;samping kanan;#;A;;
4;Jumlah pemain sepak bola ... orang.;10;11;12;13;#;B;;
4;Peregangan berguna untuk ...;Ketangkasan;menghindari cidera;kekuatan;kecepatan;#;B;;
4;Alat yang di gunakan dalam latian lompat tali berupa...;Kawat;senar;tali karet;terpal;#;C;;
4;Posisi badan pada waktu melakukan push up adalah...;Terlentang;jongkok;telungkup;tidur;#;C;;
4;Pada gerakan duduk mencium lutut kedua kaki rapat dan...;Di tekuk;diangkat;diluruskan;bersila;#;C;;
4;Saat melakukan push up tumpuan gerakan pada ...;Paha;kedua tangan;siku;perut;#;B;;
4;"Agar otot tidak kaku, sebelum berolah raga kita melakukan latihan ...";lari;renang;jogging;pemanasan;#;D;;
4;Berikut yang bukan gaya renang adalah gaya ...;Bebas;dada;kupu-kupu;batu;#;D;;
4;Tujuan berkemah adalah untuk ...;Melatih kemandirian;Bersenang-senang;Melatih hidup terasing;jauh dari orang tua;#;A;;
4;Kegiatan berkemah yang biasanya di isi aneka ragam atraksi keterampilan olahraga dan seni adalah ...;Jelajah alam;halang rintang;api unggun;jurit malam;#;C;;
4;Kegiatan berkemah intinya hidup di ...;Luar rumah;alam bebas;halaman;kamar;#;B;;
4;Gerakan cinta alam dapat kita lakukan dengan ...;Berlibur;menanam pohon;bermain;upload foto;#;B;;
4;Nyamuk penyebab demam berdarah yaitu ...;Aeropheles;plasmodium;aedes aegypti;malaria;#;C;;
4;Air menggenang menjadi sarang ...;Lalat;nyamuk;semut;kumbang;#;B;;
4;Jumlah pemain kasti adalah ...;5;6;11;12;#;D;;
4;Lama istirahat permainan kasti adalah ...;10 menit;20 menit;30 menit;45 menit;#;B;;
4;Kebanyakan bola tenis meja terbuat dari bahan ...;kayu;mika;celluloid;karet;#;C;;
4;Nilai sama 20-20 pada tenis meja disebut ...;out;game poin;game;deuce;#;D;;
4;"Lari, lompat, jalan, dan lempar termasuk gerak dasar ...";atletik;senam ritmik;senam lantai;sepak bola;#;A;;
4;Gaya flop dan gunting merupakan gaya-gaya dalam ...;lompat tinggi;lompat jauh;lari jarak pendek;basket;#;A;;
4;Daya tahan tubuh sering dikenal dengan istilah ...;strength;endurance;agility;speed;#;B;;
4;Latihan saling menarik teman dapat meningkatkan ...;kecepatan;kekuatan tubuh;kelenturan otot;daya tahan tubuh;#;C;;
4;Tumpuan badan saat posisi merangkak adalah pada ...;kepala;kedua tangan;kedua kaki;perut;#;B;;
4;Melenturkan otot berguna mencegah ...;sakit badan;sakit kepala;cidera;luka-luka;#;C;;
4;Latihan duduk di bahu teman melatih kekuatan ...;otot bahu dan kepala;otot tangan dan kaki;otot pinggang dan kaki;otot bahu dan kaki;#;D;;
4;Lari dengan jarak 600 meter dapat melatih ...;kekuatan otot;kecepatan;kelenturan otot;daya tahan tubuh;#;D;;
4;Senam lantai berguna melatih ...;ketangkasan;kecepatan;keseimbangan;kekuatan;#;A;;
4;Guling depan termasuk senam lantai ...;berirama;tanpa irama;menggunakan alat;tanpa alat;#;D;;
4;Posisi dagu pada guling depan adalah menempel di ...;matras;pangkal leher;perut;kaki;#;B;;
4;Saat melewati kuda-kuda posisi kedua kaki adalah ...;dirapatkan;direntangkan;disejajarkan;ditarik ke belakang;#;A;;
4;Berikut ini bukan alat yang digunakan dalam senam lantai adalah ...;boks;mistar;kuda-kuda;balok titian;#;D;;
4;Sikap awalan guling belakang adalah ...;lari pelan-pelan;sikap sempurna;berdiri tegak;jongkok;#;D;;
4;Senam meliputi gabungan berbagai macam ...;permainan;olahraga;gerak;musik;#;C;;
4;Pandangan mata saat jalan di tempat adalah ...;lurus ke depan;lurus ke belakang;lurus ke samping;lurus ke bawah;#;A;;
4;Hewan yang menjadi perantara penyakit chikungunya adalah ...;Tikus;nyamuk;burung;cicak;#;B;;
4;Pukulan pertama untuk memulai permainan bola volly disebut ...;Passing atas;passing bawah;servis;shooting;#;C;;
4;Alat yang digunakan untuk latihan berguling adalah ...;Matras;peti lompat;simpai;tongkat;#;A;;
4;Dalam setiap berolah raga selalu di lakukan peregangan yang berguna untuk ...;Ketangkasan;kekuatan;menghindari cidera;bergaya;#;C;;
4;Seorang dalam kegiatan berkemah harus bersikap ...;"Jujur, pantang menyerah, dan mandiri";Jujur dan mudah menyerah;Ceroboh;abai;#;A;;
4;Olahraga permainan yang mirip dengan keepers adalah ...;Softball;Baseball;Kasti;Bola bakar;#;C;;
4;Tolak peluru termasuk cabang olahraga ...;Senam;Atletik;Air;Permainan;#;B;;
4;Tolak peluru merupakan cabang olahraga atletik di nomor ...;Lempar;Tolak;Lari;Lompat;#;B;;
4;Squat Jump berguna untuk kekuatan otot  ...;Perut;Kaki;Leher;Punggung;#;B;;
4;Latihan senam lantai menggunakan alat ...;Tikar;Matras;Karpet;Tali;#;B;;
4;Latihan pemanasan disebut juga dengan ...;Warming Up;Joging;Maraton;Stretching;#;A;;
4;Jumlah pemain sepak bola adalah...;10;9;11;6;#;C;;
4;Jumlah pemain kippers adalah... orang;13;11;12;8;#;C;;
4;Penjaga gawang dalam permainan bola kaki disebut...;Gelandang;Bek;Penyerang;Kipper;#;D;;
4;Posisi badan pada gaya bebas dalam renang adalah...;Tidur;Miring;Telungkup;Tenggelam;#;C;;
4;Kemampuan otot untuk melakukan usaha dalam jangka waktu yang cepat disebut ...;daya tahan;keseimbangan;kekuatan dengan kecepatan;kelentukan dengan kecepatan;#;C;;
4;Gerakan siswa berlari di tempat dilakukan pada kode hitungan ...;pertama;kedua;ketiga;keempat;#;A;;
4;Gerakan melompat ke depan dilakukan dengan cara menumpu pada kedua ...;tangan;kaki;lutut;paha;#;B;;
4;Bagian tubuh yang dilatih saat menggerakkan kepala adalah ...;otot kaki;otot tangan;otot leher;otot lutut;#;C;;
4;Kelentukan otot lengan;lompat kangkang sambil tepuk tangan;lompat di tempat;berjalan di atas balok kayu;mengangkat paha;#;A; pinggang; dan kaki dilatih dengan latihan ...
4;"Berikut ini bukan termasuk unsur-unsur senam ketangkasan, yaitu ...";keseimbangan;kelincahan;kelenturan;kelemahan;#;D;;
4;Sikap kaki teman saat membantu sikap lilin adalah posisi ...;jongkok;dibuka kangkang;diluruskan;berlutut;#;A;;
4;Kedua tangan saat sikap lilin berguna untuk menopang ...;kepala;kaki;berat badan;pinggul;#;D;;
4;Karet gelang yang diuntai dapat digunakan sebagai alat permainan ...;egrang;lompat tali;tarik tambang;lompat kangkang;#;B;;
4;"Setelah melewati kuda-kuda, posisi kaki saat mendarat adalah ...";mengeper;dibuka lebar;melayang;diraptkan;#;A;;
4;Guling lenting termasuk dalam contoh ...;senam lantai tanpa alat;senam lantai dengan alat;senam irama tanpa alat;senam irama dengan alat;#;A;;
4;Sikap badan pada waktu melompat ke samping adalah ...;tegak;condong ke depan;condong ke kanan;serong ke kiri;#;A;;
4;Pandangan saat mengayunkan tangan kanan menyentuh ujung jari kaki kiri menuju ke ...;depan;belakang;tangan kiri;tangan kanan;#;A;;
4;Salah satu olahraga air yang bisa dilombakan adalah ...;balet;estafet;tenis meja;renang;#;D;;
4;"Demi menjaga keselamatan, gerakan meluncur dilakukan di ...";air dalam;tempat dangkal;tempat curam;darat;#;B;;
4;Gaya bebas membutuhkan gerakan ... untuk bergerak.;lengan;lutut;kaki;tungkai;#;A;;
4;Tempat tinggal sementara untuk berkemah adalah ...;gubuk;tenda;poskamling;sekolah;#;B;;
4;Kayu bakar digunakan dalam aktivitas ...;tarik tambang;mencari jejak;api unggun;mendirikan tenda;#;C;;
4;Industri rumah tangga dapat menghasilkan limbah ...;cair;gas;padat;tanah;#;A;;
4;Sampah yang dibiarkan saja dapat menjadi ...;sumber gizi;sumber penyakit;kering;zat kimia;#;B;;
4;Bentuk lapangan kasti ...;Empat persegi panjang;Segi lima beraturan;Segi tiga sama sisi;Linkaran berangkai;#;A;;
4;Pada permainan bola kasti masing -- masing regu terdiri atas  ...;11 pemain;12 pemain;6 pemain;8 pemain;#;B;;
4;"Pada permainan kasti, apabila pemain memukul bola dengan keras dan dapat langsung kembali ke ruang bebas mendapat nilai …";1;2;3;4;#;B;;
4;"Teknik dasar permainan kasti : 1. melempar bola 2. Menangkap bola 3. Memukul bola 4. Berlari Berdasarkan keterangan di atas,manakah tehnik yang pertama digunakan regu pemain dalam permainan kasti ...";melempar bola;menankap bola;memukul bola;berlari;#;C;;
4;Atletik berasal dari bahasa yunani yaitu " Athlon " yang berarti ...;berlari;berlomba atau bertanding;"lari,lompat,lempar";berjuang;#;B;;
4;Lari pelan sering didebut ...;joging;sprint;lari bersama;lari sedang;#;A;;
4;Pada lari cepat sangat mengandalkan ...;ketahanan tubuh;Kecepatan;kekuatan;Kecepatan dan kekuatan;#;D;;
4;Tahapan secara urut dalam lompat jauh yang harus di kuasai adalah ...;"awalan, akhiran, melayang, mendarat";"awalan, mendarat, tolakan, melayang";"awalan, tolakan, melayang, mendarat";"awalan,tolakan, mendarat, melayang";#;C;;
4;Gaya dalam lompat tinggi : - Guling perut - Guling sisi - Guntig - Tergeletak - perahu Manakah yang bukan termasuk gaya dalam lompat tinggi ...;Guling perut;Guling sisi;Gunting;Perahu;#;D;;
4;Berapa lama waktu pertandingan sepak bola ...;2 x 45 menit;3 x 45 menit;4 x 45 menit;5 x 45 menit;#;A;;
4;Diameter lingkaran garis tengah lapangan sepak bola ...;"9,19 m";"9,15 m";"9,17 m";"9,16 m";#;B;;
4;Ukuran lebar lapangan sepak bola adalah ...;64 -- 78 m;64 -- 87 m;46 -- 78 m;46 -- 87 m;#;A;;
4;"Kemampuan menendang bola dapat dilakukan dengan kaki bagian berikut, kecuali ...";kaki bagian punggung;Kaki bagian luar;kaki bagian dalam;Telapak kaki;#;D;;
4;Jumlah pemain sepak bola setiap timnya adalah ...;9 pemain;10 pemain;11 pemain;12 pemain;#;C;;
4;Lari santai mengelilingi lapangan sekolah adalah salah satu latihan yang bertujuan untuk ...;melatih dayatahan tubuh;Melati kesembangan;melati kecepatan;Melati kebiasaan;#;A;;
4;Tujuan gerakan sit up adalah ...;melatih kekuatan lengan;melatih kekuata perut;melatih kekuatan otot kaki;melati kekuatan otot pinggang;#;B;;
4;"Untuk melatih kekuatan lengan dan bahu, dapat di lakukan dengan latihan ...";sit up;Pull up;push up;lari;#;C;;
4;Latihan koordinasi dapat di lakukan dengan ...;mendorong bola kedinding;mendorong teman ke dinding;mengecoh teman ke dinding;memantulkan bola ke dinding;#;D;;
4;Berikut macam-macam senam ... - loncat -- loncat di tempat - Hand stand - Head Stand - Lompat kangkang Dari keterangan di atas manakah yang Bukan termasuk senam lantai tanpa alat ...;loncat -- loncat di tempat;Hand stand;Head stan;Lompat kangkang;#;A;;
4;head stand adalah sikap tegak bertumpu pada ...;kepala;Tangan;punggung;kaki;#;A;;
4;Sikap awal latihan head stand adalah ...;duduk / jongkok;Berdiri tegak;membungkuk;Berdiri dengan tangan;#;A;;
4;apa alat yang di gunakan dalam melakukan geraka lompat kangkang ...;palang tunggal;palang sejajar;pagar sekolah;peti lompat;#;D;;
4;bagian tubuh manakah yang bersentuhan dengan matras setelah kedua tangan pada gerakan guling depan ...;kepala;Tengkuk leher;pinggang;kaki;#;B;;
4;Irama pada senam ritmik bisa berupa ...;lagu;Gerakan;ayunan lengan;sorak;#;A;;
4;Hitungan ke-1 gerak ritmik terstruktur beregu adalah ...;ayunkan kaki kanan ke depan;ayunkan kaki kiri ke depan;langkahkan kaki kanan ke depan;langkahkan kaki kanan ke belakang;#;C;;
4;"Berikut ciri - ciri lingkungan bersih, Kecuali ...";bebas dari sampah;Saluran air lancer;memiliki air bersih;Memiliki pemandangan;#;D;;
4;Kebersihan lingkungan sekolah adalah tanggung jawab ...;pribadi;Semua warga sekolah;pemeritah;Petugas sekaolah;#;B;;
4;"Secara umum sampah dapat dibedakan menjadi tiga seperti dibawah ini, Kecuali...";Sampah basah atau sampah organic;Sampah kering atau sampah anorganik;Sampah tidak berbahaya atau asap;Sampah berbahaya;#;C;;
4;Cara mengatasi permasalahan sampah adalah ...;sanitary landfill;buang ke sungai;dibuang di tempat kosong;dibuang ke selokan;#;A;;
4;"Seorang pemain sepakbola yang melakukan pelanggaran berat diberi kartu merah, maka hukuman baginya ...";Masih diperbolehkan main;Harus memohon maaf pada wasit;Harus keluar dari arena permainan;Melakukan tendangan bebas;#;C;;
4;Tendangan bola yang dilakukan dari depan gawang disebut ...;Penalty;Corner kick;Goal kick;Offside;#;A;;
4;Seorang pemain sepakbola yang terkena kartu kuning berarti telah melakukan ...;Pelanggaran;Cormer kick;Tendangan gawang;Lemparan kedalam;#;A;;
4;Lapangan permainan kasti mempunyai lebar ...meter;20;30;40;50;#;B;;
4;Permainan sepak bola berasal dari negara ...;Inggris;Swedia;Prancis;Jerman;#;A;;
4;Sepak bola merupakan cabang olahraga ...;Senam;Beladiri;Atletik;Permainan;#;D;;
4;Olahraga yang paling popular didunia adalah ...;Renang;Voli;Sepak bola;Wushu;#;C;;
4;Sikp bersedia mengakui keunggulan lawan disebut ...;Jujur;Sportivitas;Konsisten;Anarki;#;B;;
4;Tolak peuru merupakan cabang atletik nomor apa ...;Lempar;Lari;Lompat;Jalan;#;B;;
4;Lebar lintasan lari adalah ... meter;"1,22";"1,23";"1,24";"1,26";#;A;;
4;Jumlah pemain rounders /kasti setiap regunya ...;5 orang;16 orang;12 orang;6 orang;#;C;;
4;Hak memukul setiap pemain rounders /kasti setiap regunya berapa kali ...;1x;2x;3x;4x;#;A;;
4;Pelari jarak pendek disebut juga...;Kipper;Striker;Gelandang;Sprinter;#;D;;
4;Bahan untuk membuat bola kasti adalah ...;Karet;Plastik;Karet dan sabut;Besi;#;C;;
4;Penjaga gawang pada olahraga sepakbola disebut ...;Bouwler;Kipper;Piecher;Supporter;#;B;;
4;"Untuk melakukan gerakan katak melompat, posisi badan adalah ...";Berdiri tegak;Tidur terlentang;Jongkok;Tengkurap;#;C;;
4;Menirukan gerakan katak melompat memperkuat otot ...;Paha/kaki;Leher;Bahu/tangan;Perut;#;A;;
4;Di bawah ini merupakan gerkan yang melatih kekuatan adalah ...;Katak melompat;Menggendong teman;Lompat tali;Meniru gaya ular meliuk;#;B;;
4;Menarik dan mendorong menggunakan ...;Tangan;Kaki;Kepala;Badan;#;A;;
4;Olahraga yang baik dilakukan secara ...;Berlebihan;Seenaknya;Sesempatnya;Teratur;#;D;;
4;Perilaku yang mencerminkan cinta budaya Indonesia adalah...;membeli majalah luar negeri;menonton film Mandarin;mengoleksi lagu-lagu Barat;menonton tari Bali di TMII;#;D;;
4;Kepala pemerintahan yang ditentukan oleh pemerintahan di atasnya adalah...;kepala desa;bupati;camat;gubernur;#;C;;
4;Budaya adalah...;moral dan etika;etika dan norma;pikiran dan akal budi;pikiran dan akal sehat;#;C;;
4;Tugas Badan Permusyawaratan Desa antara lain...;memilih kepala desa;membantu tugas kepala desa;mengawasi kerja pemerintah desa;melindungi kepala desa dari bahaya;#;C;;
4;Media yang paling cepat memberikan informasi adalah...;majalah;internet;radio;televisi;#;B;;
4;"Setelah dipilih dan diangkat, kepala desa memegang jabatannya selama...";tiga tahun;sembilan tahun;enam tahun;duapuluh tahun;#;C;;
4;Membentengi diri dari pengaruh buruk globalisasi dapat dilakukan dengan...;banyak membaca;mengontrol diri;memperdalam agama;mengikuti perkembangan zaman;#;B;;
4;Kepala desa menyampaikan laporan pemerintahannya kepada...;BPD;bupati;camat;lurah;#;A;;
4;Globalisasi artinya...;dunia;mendunia;berkomunikasi;berhubungan;#;B;;
4;Kepala pemerintahan yang setara tingkatannya dengan kepala desa adalah...;lurah;bupati;camat;gubernur;#;A;;
4;Presiden RI dipilih oleh...;MPR;DPR;MA;rakyat melalui pemilu;#;D;;
4;Yang berhak mengangkat dan memberhentikan camat adalah...;Dewan Permusyawaratan Kecamatan;warga kecamatan;para kepala desa;bupati;#;D;;
4;Camat melaporkan keberhasilan tugasnya kepada...;para kepala desa;perangkat kecamatan;para lurah;Bupati;#;D;;
4;Hak presiden untuk mengangkat dan memberhentikan menterinya disebut...;hak angket;hak interpelasi;hak prerogatif;hak asasi;#;C;;
4;Jabatan yang tidak termasuk perangkat daerah kabupaten adalah...;camat;sekretaris daerah kabupaten;kepala desa;lurah;#;C;;
4;"Dalam menjalankan tugasnya, para menteri bertanggung jawab kepada...";DPD;MPR;DPR;Presiden;#;D;;
4;Berikut ini yang merupakan tugas Dewan Perwakilan Rakyat Daerah (DPRD) Kabupaten adalah...;memimpin pemerintahan kabupaten mendampingi bupati;membantu tugas pemerintahan bupati di kecamatan;membuat dan mengusulkan peraturan daerah;menggantikan tugas bupati jika berhalangan;#;C;;
4;"Untuk membantu tugas-tugasnya, presiden mengangkat...";wakil presiden;para menteri;gubernur;staf presiden;#;B;;
4;Pemerintahan setingkat kabupaten yang terletak di wilayah perkotaan dipimpin oleh...;pembantu bupati;gubernur;wali kota;presiden;#;C;;
4;"Sistem untuk menjalankan wewenang dan kekuasaan dalam mengatur kehidupan sosial, ekonomi, dan politik suatu negara disebut...";pemerintah;kepemimpinan;penguasa;kewenangan;#;A;;
4;Masa jabatan Presiden RI selama...tahun.;empat;lima;enam;tujuh;#;B;;
4;Bupati tidak dapat dipilih lagi jika telah bertugas sebanyak...;satu kali masa jabatan;tiga kali masa jabatan;dua kali masa jabatan;empat kali masa jabatan;#;C;;
4;"Dalam menjalankan tugasnya, gubernur bertanggung jawab kepada...";presiden;rakyat;DPRD;Mendagri;#;A;;
4;Manakah tindakan yang boleh dilakukan oleh seorang bupati dan anggota DPRD?;Melakukan korupsi.;Menerima gaji sesuai dengan haknya.;Memperkaya diri sendiri dengan cara yang tidak benar.;Mengutamakan kepentingan pribadi dan keluarganya di atas kepentingan rakyat.;#;B;;
4;Masa jabatan presiden berlangsung selama...tahun;2;3;4;5;#;D;;
4;Yang berhak memilih presiden adalah...;Menteri;DPR;Rakyat;wakil presiden;#;C;;
4;Presiden Republik Indonesia yang ke-2 adalah...;Ir. Soekarno;B. J. Habibie;Soeharto;KH. Abdurrahman Wahid;#;B;;
4;Pemilihan calon presiden dan wakil presiden diusulkan oleh...;Partai Politik;DPR;MPR;Masyarakat Rakyat;#;A;;
4;Presiden mempunyai wewenang untuk memberikan amnesti. Amnesti adalah...;Pengurangan masa hukuman;Pemulihan nama baik;Penghapusan tuntutan pidana;Pengampunan kepada orang yang telah dijatuhi hukuman;#;D;;
4;DPR singkatan dari...;Dewan Permusyawaratan Rakyat;Dewan Pemilihan Rakyat;Dewan Rakyat;Dewan Perwakilan Rakyat;#;D;;
4;DPD kependekan dari ...;Dewan Pimpinan Daerah;Dewan Perwakilan Daerah;Dewan Penasihat Daerah;Dewan Pembina Daerah;#;B;;
4;Salah satu tugas Mahkamah Konstitusi adalah ...;menangani sengketa kewenangan lembaga negara;menangani sengketa tanah;mengawasi hakim pengadilan;menangani laporan tindak pidana dan perdata;#;A;;
4;Lembaga negara yang tugas pokoknya mengawasi jalannya pemerintahan adalah ...;DPD;DP;presiden;MPR;#;D;;
4;Mengawasi jalannya pemerintahan disebut fungsi ...;legislasi;anggaran;pengawasan;mengeluarkan pendapat;#;C;;
4;Seorang kepala desa dibantu oleh ...;kepala dusun;ketua Rukun Tetangga (RT);sekretaris desa;wakil kepala desa;#;C;;
4;Aparat yang bertugas menjaga keamanan wilayah kecamatan dari gangguan adalah ...;koramil;sekdes;sekcam;kepala dusun;#;A;;
4;Kepala desa dilantik oleh ...;gubernur;presiden;walikota;camat;#;D;;
4;Pemerintahan kota dipimpin oleh seorang ...;gubernur;walikota;bupati;camat;#;B;;
4;Wilayah kabupaten merupakan gabungan dari beberapa ...;desa;kelurahan;kota;kecamatan;#;D;;
4;Pemerintahan kabupaten di pimpin oleh ...;gubernur;walikota;camat;bupati;#;D;;
4;Di Indonesia terjadi pemekaran provinsi. Jumlah provinsi di Indonesia pada 2008 adalah ...;33 provinsi;34 provinsi;35 provinsi;36 provinsi;#;A;;
4;Dalam menjalankan tugasnya gubernur bertanggung jawab kepada ...;mendiknas;presiden;DPRD;mendagri;#;B;;
4;Membuat peraturan daerah (perda) merupakan tugas dan wewenang ...;DPRD;MPR;DPR;Presiden;#;A;;
4;Anggota DPRD berasal dari ...;kecamatan;kepala desa;sekolah;partai politik;#;D;;
4;Walikota adalah kepala daerah tingkat kota setara dengan ...;camat;bupati;gubernur;lurah;#;B;;
4;Sekolah negeri atau swasta menjadi tanggung jawab dinas ...;transmigrasi;tenaga kerja;perhubungan;pendidikan;#;D;;
4;Pemerintahan di kecamatan dipimpin oleh seorang ...;camat;bupati;gubernur;walikota;#;A;;
4;Kepala daerah dan DPRD bekerja sama dalam hal ...;menetapkan kepala daerah;menetapkan peraturan daerah;mengawasi peraturan daerah;pengangkatan pegawai;#;B;;
4;Sekretaris daerah dalam menjalankan tugasnya bertanggung jawab kepada ...;DPRD;dinas daerah;polisi pamong praja;bupati;#;D;;
4;Kepolisian yang ada di kabupaten/kota disebut ... .;polda;koramil;polres;polri;#;C;;
4;Hak angket merupakan hak dari DPRD untuk ...;mengadakan penyelidikan;bertanya;menyatakan secara tertulis;surat-menyurat;#;A;;
4;Seorang kepala desa berhak memangku jabatannya selama ...;tiga tahun;empat tahun;lima tahun;enam tahun;#;D;;
4;Setiap daerah berhak untuk mengurus daerahnya sendiri. Pernyataan tersebut adalah pengertian dari ... .;keleluasaan daerah;otonomi daerah;kebebasan daerah;kekuasaan daerah;#;B;;
4;Wilayah yang terdiri atas beberapa kabupaten disebut . . . .;kelurahan;kecamatan;kota;provinsi;#;D;;
4;Warna putih pada bendera Indonesia berarti...;Suci;Berani;Perkasa;Kuat;#;A;;
4;Warna kuning pada lampu lalu lintas berarti ...;Berhenti;Berjalan;Hati-hati;Pelan-pelan;#;C;;
4;Kolase adalah dari unsur ...;Warna;Bidang;Tekstur;Bentuk;#;B;;
4;Garis paranada berjumlah...;4;5;6;7;#;B;;
4;Tempat penulisan not balok di sebut...;Garis paranada;Spasi;Garputala;Not angka;#;A;;
4;Alat musik yang di tiup adalah...;Gendang;Gitar;Piano;Seruling;#;D;;
4;Di bawah ini yang termasuk lagu wajib adalah...;Bintang kecil;Balonku;Satu nusa satu bangsa;Lagu apuse;#;C;;
4;Gambar yang di buat berdasarkan khayalan di sebut...;Gambar dekoratif;Gambar imajinatif;Gambar ilustrasi;Gambar ekspresi;#;B;;
4;Menggambar merupakan salah satu bentuk...;Kekesalan;ekspresi diri;Keramaian;Kejenuhan;#;B;;
4;Gambar yang diwarnai akan menjadi lebih ...;Menarik;Jelek;Besar;Kecil;#;A;;
